userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,account_creation_date,user_profile_url,follower_count,following_count,account_language
2530830345,New Orleans Online,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",2014-05-05,,35988,11010,en
2537507303,El Paso Top News,ElPasoTopNews,"El Paso, Texas","El Paso top news and stories, powered 24/7",2014-05-09,,21009,5202,en
2494112058,San Jose Daily,DailySanJose,USA,"Follow for San Jose's breaking news, special reports, entertainment and more from @DailySanJose",2014-05-14,,20135,9313,en
2547141851,Chicago Daily News,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",2014-05-14,,23595,13665,en
2495567768,San Francisco Daily,DailySanFran,"San Francisco, CA","Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran",2014-05-15,,22688,8375,en
2571870453,Detroit Daily News,DetroitDailyNew,"Detroit, Michigan","Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7",2014-05-30,,21265,10305,en
2577082467,Cincinnati Today,TodayCincinnati,"Cincinnati, OH","Cincinnati's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",2014-06-02,,18361,5516,en
2587474264,Minneapolis Online,MinneapolisON,"Minneapolis, MN","Breaking news, weather, traffic and more for Minneapolis. DM us anytime. RTs not endorsements",2014-06-06,,13481,7724,en
2587843805,KansasCityDailyNews,KansasDailyNews,"Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",2014-06-06,,29357,6720,en
2591847731,Boston Today,TodayBostonMA,"Boston, USA","Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",2014-06-08,,18560,7276,en
2601235821,Pittsburgh Today,TodayPittsburgh,"Pittsburgh, PA","Pittsburgh's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",2014-06-11,,20790,10408,en
2611151319,Seattle Post,Seattle_Post,"Seattle, WA","Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share",2014-06-15,,25263,10975,en
2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",2014-06-18,,18011,8888,en
2624554209,Los Angeles Daily,DailyLosAngeles,"Los Angeles, CA","Follow for LA's breaking news, special reports, entertainment and more from @DailyLosAngeles",2014-06-20,,26391,10081,en
2628066159,Houston Top News,HoustonTopNews,"Houston, TX","Houston top news and stories, powered 24/7",2014-06-21,,22823,5483,en
2630842499,San Diego Daily,DailySanDiego,"San Diego, CA","Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego",2014-06-22,,22715,8255,en
2675966513,Dallas Top News,DallasTopNews,"Dallas, Texas","Dallas top news and stories, powered 24/7",2014-07-05,,24696,7388,en
2743327187,Washington Online,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",2014-08-15,,40762,14404,en
2752677905,New York City Today,TodayNYCity,"New York, NY","New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",2014-08-27,,66980,10500,en
2753146444,Cleveland Online,OnlineCleveland,"City of Cleveland, USA","Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements",2014-08-28,,19351,8207,en
2753338899,San Antonio Top News,SanAntoTopNews,"City of San Antonio, TX","San Antonio top news and stories, powered 24/7",2014-08-28,,25528,7904,en
2753211010,Phoenix Daily News,PhoenixDailyNew,"City of Phoenix, Arizona","Local news, sports, business, politics, entertainment, travel and opinion for Phoenix and Arizona. DM us 24/7",2014-08-28,,18574,7903,en
2944944427,Miami Today,TodayMiami,"Miami, FL","Miami's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",2014-12-27,,20718,8517,en
2944766250,Atlanta Online,Atlanta_Online,"Atlanta, GA","Breaking news, weather, traffic and more for Atlanta and Georgia. DM us anytime. RTs not endorsements",2014-12-27,,20345,13575,en
3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",2015-03-10,,8056,7234,en
3074013672,Oakland Online,OaklandOnline,"Oakland, CA","Breaking news, weather, traffic and more for Oakland. DM us anytime. RTs not endorsements",2015-03-11,,15884,13099,en
3074563039,St. Louis Online,StLouisOnline,"St Louis, MO","Breaking news, weather, traffic and more for St. Louis. DM us anytime. RTs not endorsements",2015-03-12,,10534,8576,en
23dde95f6135ab333fab997ea397603ddf208d1f91a43846f0a162581949fa0c,23dde95f6135ab333fab997ea397603ddf208d1f91a43846f0a162581949fa0c,23dde95f6135ab333fab997ea397603ddf208d1f91a43846f0a162581949fa0c,"Milwaukee, WI",Milwaukee's latest news source. Follow us for original reporting and trusted news @MilwaukeeVoice. DM your local news tips,2015-03-10,,3621,4547,en
40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,40c69d0d189a365ceeee51c9bc039fcab3abe57447c7296427e083bc2a8a8ae5,"Camden, NJ",#Camden #CamdenNewJersey #NewJersey #USA #America #US #CamdenEvents #CamdenNews,2015-03-14,,3864,4198,en
080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875,080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875,080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875,"Newark, NJ",Newark's latest news source. Follow us for original reporting and trusted news @NewarkVoice,2015-03-15,,4604,1988,en
cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,"Baton Rouge, LA",Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips,2015-03-15,,3378,1829,en
8a73099860c2a4790ae6899381c0c327462e626c02ce0d3c899ce6058135786a,8a73099860c2a4790ae6899381c0c327462e626c02ce0d3c899ce6058135786a,8a73099860c2a4790ae6899381c0c327462e626c02ce0d3c899ce6058135786a,"Denver, CO","Local news, sports, business, politics, entertainment, travel and opinion for Denver. DM us 24/7",2016-11-26,,1219,4294,en
1b9170131042e19616d129cd641647fa410216ccd3f44c92cb8529bc7f64a982,1b9170131042e19616d129cd641647fa410216ccd3f44c92cb8529bc7f64a982,1b9170131042e19616d129cd641647fa410216ccd3f44c92cb8529bc7f64a982,"Albuquerque, NM","Breaking news, weather, traffic and more for Albuquerque. DM us anytime. RTs not endorsements",2016-11-27,,760,3660,en